3.62	1.06698	-0.0597972
3.64	1.0427	-0.0619256
3.66	1.01758	-0.0639804
3.68	0.991653	-0.0659568
3.7	0.96496	-0.06785
3.72	0.937531	-0.0696552
3.74	0.909403	-0.0713676
3.76	0.880613	-0.0729824
3.78	0.851201	-0.0744948
3.8	0.82121	-0.0759
3.82	0.790683	-0.0771932
3.84	0.759666	-0.0783696
3.86	0.728206	-0.0794244
3.88	0.696354	-0.0803528
3.9	0.66416	-0.08115
3.92	0.631678	-0.0818112
3.94	0.598964	-0.0823316
3.96	0.566075	-0.0827064
3.98	0.53307	-0.0829308
4	0.499989	-0.083
4.02	0.466929	-0.0829317
4.04	0.433922	-0.0827086
4.06	0.401031	-0.0823359
4.08	0.368314	-0.0818188
4.1	0.335827	-0.0811625
4.12	0.303625	-0.0803722
4.14	0.271761	-0.0794531
4.16	0.240285	-0.0784104
4.18	0.209246	-0.0772493
4.2	0.178689	-0.075975
4.22	0.14866	-0.0745927
4.24	0.1192	-0.0731076
4.26	0.0903495	-0.0715249
4.28	0.0621464	-0.0698498
4.3	0.0346267	-0.0680875
4.32	0.00782405	-0.0662432
4.34	-0.0182297	-0.0643221
4.36	-0.0435048	-0.0623294
4.38	-0.0679737	-0.0602703
4.4	-0.0916108	-0.05815
4.42	-0.114393	-0.0559737
4.44	-0.136298	-0.0537466
4.46	-0.157308	-0.0514739
4.48	-0.177405	-0.0491608
4.5	-0.196573	-0.0468125
4.52	-0.214801	-0.0444342
4.54	-0.232076	-0.0420311
4.56	-0.24839	-0.0396084
4.58	-0.263737	-0.0371713
4.6	-0.278111	-0.034725
4.62	-0.29151	-0.0322747
4.64	-0.303933	-0.0298256
4.66	-0.315382	-0.0273829
4.68	-0.32586	-0.0249518
4.7	-0.335373	-0.0225375
4.72	-0.34393	-0.0201452
4.74	-0.351538	-0.0177801
4.76	-0.358212	-0.0154474
4.78	-0.363964	-0.0131523
4.8	-0.368811	-0.0109
4.82	-0.37277	-0.0086957
4.84	-0.375863	-0.0065446
4.86	-0.378111	-0.0044519
