6	2.00833
6.02	2.00753
6.04	2.00679
6.06	2.00612
6.08	2.00549
6.1	2.00492
6.12	2.0044
6.14	2.00392
6.16	2.00349
6.18	2.00309
6.2	2.00273
6.22	2.00241
6.24	2.00211
6.26	2.00185
6.28	2.00161
6.3	2.0014
6.32	2.00121
6.34	2.00104
6.36	2.00089
6.38	2.00076
6.4	2.00065
6.42	2.00055
6.44	2.00046
6.46	2.00038
6.48	2.00032
6.5	2.00026
6.52	2.00021
6.54	2.00017
6.56	2.00014
6.58	2.00011
6.6	2.00009
6.62	2.00007
6.64	2.00005
6.66	2.00004
6.68	2.00003
6.7	2.00002
6.72	2.00001
6.74	2.00001
6.76	2.00001
6.78	2
6.8	2
6.82	2
6.84	2
6.86	2
6.88	2
6.9	2
6.92	2
6.94	2
6.96	2
6.98	2
7	2
7.02	2
7.04	2
7.06	2
7.08	2
7.1	2
7.12	2
7.14	2
7.16	2
7.18	2
7.2	2
7.22	2
7.24	2
7.26	2
7.28	2
7.3	2
7.32	2
7.34	2
7.36	2
7.38	2
7.4	2
7.42	2
7.44	2
7.46	2
7.48	2
7.5	2
7.52	2
7.54	2
7.56	2
7.58	2
7.6	2
7.62	2
7.64	2
7.66	2
7.68	2
7.7	2
7.72	2
7.74	2
7.76	2
7.78	2
7.8	2
7.82	2
7.84	2
7.86	2
7.88	2
7.9	2
7.92	2
7.94	2
7.96	2
7.98	2
8	2
8.02	2
8.04	2
8.06	2
8.08	2
8.1	2
8.12	2
8.14	2
8.16	2
8.18	2
8.2	2
8.22	2
8.24	2
8.26	2
8.28	2
8.3	2
8.32	2
8.34	2
8.36	2
8.38	2
8.4	2
8.42	2
8.44	2
8.46	2
8.48	2
8.5	2
8.52	2
8.54	2
8.56	2
8.58	2
8.6	2
8.62	2
8.64	2
8.66	2
8.68	2
8.7	2
8.72	2
8.74	2
8.76	2
8.78	2
8.8	2
8.82	2
8.84	2
8.86	2
8.88	2
8.9	2
8.92	2
8.94	2
8.96	2
8.98	2
9	2
9.02	2
9.04	2
9.06	2
9.08	2
9.1	2
9.12	2
9.14	2
9.16	2
9.18	2
9.2	1.99999
9.22	1.99999
9.24	1.99999
9.26	1.99998
9.28	1.99997
9.3	1.99996
9.32	1.99994
9.34	1.99992
9.36	1.9999
9.38	1.99987
9.4	1.99983
9.42	1.99978
9.44	1.99973
9.46	1.99966
9.48	1.99958
9.5	1.99948
9.52	1.99937
9.54	1.99923
9.56	1.99908
9.58	1.99891
9.6	1.9987
9.62	1.99847
9.64	1.99821
9.66	1.99791
9.68	1.99758
9.7	1.9972
9.72	1.99678
9.74	1.9963
9.76	1.99577
9.78	1.99519
9.8	1.99454
9.82	1.99382
9.84	1.99303
9.86	1.99216
9.88	1.9912
9.9	1.99016
9.92	1.98902
9.94	1.98777
9.96	1.98641
9.98	1.98493
10	1.98333
10.02	1.9816
10.04	1.97972
10.06	1.9777
10.08	1.97551
10.1	1.97316
10.12	1.97063
10.14	1.96791
10.16	1.965
10.18	1.96189
10.2	1.95855
10.22	1.955
10.24	1.95121
10.26	1.94717
10.28	1.94288
10.3	1.93832
10.32	1.93349
10.34	1.92837
10.36	1.92296
10.38	1.91725
10.4	1.91122
10.42	1.90486
10.44	1.89818
10.46	1.89115
10.48	1.88378
10.5	1.87604
10.52	1.86794
10.54	1.85946
10.56	1.85061
10.58	1.84136
10.6	1.83172
10.62	1.82167
10.64	1.81122
10.66	1.80035
10.68	1.78907
10.7	1.77736
10.72	1.76523
10.74	1.75267
10.76	1.73967
10.78	1.72624
10.8	1.71238
10.82	1.69808
10.84	1.68334
10.86	1.66817
10.88	1.65256
10.9	1.63652
10.92	1.62006
10.94	1.60317
10.96	1.58586
10.98	1.56813
11	1.55
11.02	1.53147
11.04	1.51254
11.06	1.49324
11.08	1.47356
11.1	1.45352
11.12	1.43314
11.14	1.41241
11.16	1.39137
11.18	1.37002
11.2	1.34837
11.22	1.32644
